Accounts of Chemical Research	Acc. Chem. Res.	Acc Chem Res
Acta Chemica Scandinavica	Acta Chem. Scand.	Acta Chem Scand
Acta Crystallographica	Acta Crystallogr.	Acta Crystallogr
Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography	Acta Crystallogr. Sec. A	Acta Crystallogr Sec A
Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry	Acta Crystallogr. Sec. B	Acta Crystallogr Sec B
Acta Mathematica Academiae Scientiarum Hungaricae	Acta Math. Acad. Sci. Hung.	Acta Math Acad Sci Hung
Acta Metallurgica	Acta Metall.	Acta Metall
Acta Oto-Laryngologica	Acta Oto-Laryngol.	Acta Oto-Laryngol
Acta Physica	Acta Phys.	Acta Phys
Acta Physica Austriaca	Acta Phys. Austriaca	Acta Phys Austriaca
Acta Physica Polonica	Acta Phys. Pol.	Acta Phys Pol
Acustica	Acustica	Acustica
Advances in Applied Mechanics	Adv. Appl. Mech.	Adv Appl Mech
Advances in Atomic, Molecular, and Optical Physic	Adv. At. Mol. Opt. Phys.	Adv At Mol Opt Phys
Advances in Chemical Physics	Adv. Chem. Phys.	Adv Chem Phys
Advances in Magnetic Resonance	Adv. Magn. Resrm.	Adv Magn Resrm
Advances in Physics	Adv. Phys.	Adv Phys
Advances in Quantum Chemistry	Adv. Quantum Chem.	Adv Quantum Chem
AIAA Journal	AIAA J.	AIAA J
AlChE Journal	AIChE J.	AIChE J
AIP Conference Proceedings	AIP Conf. Proc.	AIP Conf Proc
Akusticheskii Zhurnal [Soviet Physics & Acoustics]	Akust. Zh. [Sov. Phys. Accust.]	Akust Zh [Sov Phys Accust]
American Journal of Physics	Am. J. Phys.	Am J Phys
Analytical Chemistry	Anal. Chem.	Anal Chem
Annalen der Physik (Leipzig)	Ann. Phys. (Leipzig)	Ann Phys (Leipzig)
Annales de Chimie et de Physique	Ann. Chim. Phys.	Ann Chim Phys
Annales de Geophysique	Ann. Geophys.	Ann Geophys
Annales de l`Institut Henri Poincaré	Ann. Inst. Henri Poincaré	Ann Inst Henri Poincaré
Annales de l‘Institut Henri Poincaré, Section A; Physique Theorique	Ann. Inst. Henri Poincaré, A	Ann Inst Henri Poincaré, A
Annales de l'Institut Henri Poincaré, Section B: Calcul des Probabilites et Statistique	Ann. Inst. Henri Poincaré, B	Ann Inst Henri Poincaré, B
Annales de Physique (Paris)	Ann. Phys. (Paris)	Ann Phys (Paris)
Annals of Fluid Dynamics	Ann. Fluid Dyn.	Ann Fluid Dyn
Annals of Mathematics	Ann. Math.	Ann Math
Annals of Otology, Rhinology, & Laryngology	Ann. Otol. Rhinol. Laryngol.	Ann Otol Rhinol Laryngol
Annals of Physics (New York)	Ann. Phys. (N.Y.)	Ann Phys (NY)
Annual Review of Nuclear Science	Annu. Rev. Nucl. Sci.	Annu Rev Nucl Sci
Applied Optics	Appl. Opt.	Appl Opt
Applied Physics Letters	Appl. Phys. Lett.	Appl Phys Lett
Applied Spectroscopy	Appl. Spectmsc.	Appl Spectmsc
Arkiv foer Fysik	Ark. Fys.	Ark Fys
Astronomical Journal	Astron. J.	Astron J
Astronomicheskii Zhurnal [Soviet Astronomy]	Astron. Zh. [Sov. Astron.]	Astron Zh [Sov Astron]
Astronomische Nachrichten	Astron. Nachr.	Astron Nachr
Astronomy and Astrophysics	Astron. Astrophys.	Astron Astrophys
Astrophysical Journal	Astrophys. J.	Astrophys J
Astrophysical Journal, Letters to the Editor	Astrophys. J. Lett.	Astrophys J Lett
Astrophysical Journal, Supplement Series	Astrophys. J. Suppl. Ser.	Astrophys J Suppl Ser
Astrophysical Letters	Astrophys. Lett.	Astrophys Lett
Atomnaya Energiya [Soviet Journal of Atomic Energy]	At. Energ. [Sov. J. At. Energy]	At Energ [Sov J At Energy]
Australian Journal of Physics	Aust. J. Phys.	Aust J Phys
Bell System Technical Journal	Bcl] Syst. Tech. J.	Bcl] Syst Tech J
Berichte der Bunsengesellschaft fiir Physikalische Chemie	Ber. Bunsenges. Phys. Chem.	Ber Bunsenges Phys Chem
British Journal of Applied Physics	Br. J. Appl. Phys.	Br J Appl Phys
Bulletin of the Academy of Sciences of the USSR, Physical Series (translation of Izvestiya Akademii Nauk SSSR, Scriya Fizicheskaya)	Bull. Acad. Sci. USSR, Phys. Ser.	Bull Acad Sci USSR, Phys Ser
Bulletin of the American Astronomical Society	Bull. Am. Astron. Soc.	Bull Am Astron Soc
Bulletin of The American Physical Society	Bull. Am. Phys. Soc.	Bull Am Phys Soc
Bulletin of the Astronomical Institutes of the Netherlands	Bull. Astron. Instit. Neth.	Bull Astron Instit Neth
Bulletin of the Chemical Society of Japan	Bull. Chem. Soc. Jpn.	Bull Chem Soc Jpn
Bulletin of the Seismological Society of America	Bull. Seismol. Soc. Am.	Bull Seismol Soc Am
Canadian Journal of Chemistry	Can. J. Chem.	Can J Chem
Canadian Journal of Physics	Can. J. Phys.	Can J Phys
Canadian Journal of Research	Can. J. Res.	Can J Res
Chemical Physics	Chem. Phys.	Chem Phys
Chemical Physics Letters	Chem. Phys. Lett.	Chem Phys Lett
Chemical Reviews	Chem. Rev.	Chem Rev
Classical and Quantum Gravity	Class. Quantum Grav.	Class Quantum Grav
Comments on Nuclear and Particle Physics	Comments Nucl. Part. Phys.	Comments Nucl Part Phys
Communications in Mathematical Physics	Commun. Math. Phys.	Commun Math Phys
Communications on Pure and Applied Mathematics	Commun. Pure Appl. Math.	Commun Pure Appl Math
Comptes Rendus Hebdomadaires des Seances de l`Aeademie des Sciences	C. R. Acad. Sci.	C R Acad Sci
Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, Serie A: Sciences Mathematiques	C. R. Acad. Ser. A	C R Acad Ser A
Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, Serie B: Sciences Physiques	C. R. Acad. Ser. B	C R Acad Ser B
Computers in Physics	Comput. Phys.	Comput Phys
Cryogenics	Cryogenics	Cryogenics
Czechoslovak Journal of Physics	Czech. J. Phys.	Czech J Phys
Discussions of the Faraday Society	Discuss. Faraday Soc.	Discuss Faraday Soc
Doklady Akademii Nauk SSSR [Soviet Physics Doklady]	Dok. Akad. Nauk SSSR [Sov. Phys. Dokl.]	Dok Akad Nauk SSSR [Sov Phys Dokl]
Earth and Planetary Science Letters	Earth Planet. Sci. Lett.	Earth Planet Sci Lett
Electronics Letters	Electron. Lett.	Electron Lett
Experientia	Experientia	Experientia
Fields and Quanta	Fields Quanta	Fields Quanta
Fizika Elementarnykh Chastits i Atomnogo Yadra [Soviet Journal of Particles and Nuclei]	Fiz. Elem. Chastits At. Yadra [Sov. J. Part. Nucl.]	Fiz Elem Chastits At Yadra [Sov J Part Nucl]
Fizika i Tekhnika Poluprovodnikov [Soviet Physics Semiconductors]	Fiz. Tekh. Poluprovodn. [Sov. Phys. Semicond.]	Fiz Tekh Poluprovodn [Sov Phys Semicond]
Fizika Metallov i Metallovedenie [Physics of Metals and Metallography (USSR)]	Fiz. Met. Metalloved. [Phys. Met. Metallogr. (USSR) ]	Fiz Met Metalloved [Phys Met Metallogr (USSR) ]
Fizika Nizkikh Temperatur [Soviet Journal of Low Temperature Physics]	Fiz. Nizk. Temp. [Sov. J. Low Temp. Phys.]	Fiz Nizk Temp [Sov J Low Temp Phys]
Fizika Plazmy [Soviet Journal of Plasma Physics]	Fiz. Plazmy [Sov. J. Plasma Phys.]	Fiz Plazmy [Sov J Plasma Phys]
Fizika Tverdogo Tela (Leningrad) [Soviet Physics-Solid State]	Fiz. Tverd. Tela (Leningrad) [Sov. Phys. Solid State]	Fiz Tverd Tela (Leningrad) [Sov Phys Solid State]
Fizika (Zagreb)	Fizika (Zagreb)	Fizika (Zagreb)
Fortschritte der Physik	Fortschr. Phys.	Fortschr Phys
Foundations of Physics	Found. Phys.	Found Phys
General Relativity and Gravitation	Gen. Relativ. Gravit.	Gen Relativ Gravit
Geochimica et Cosmochimica Acta	Geochim. Cosmochim. Acta	Geochim Cosmochim Acta
Geophysical Research Letters	Geophys. Res. Lett.	Geophys Res Lett
Handbuch der Physik	Handb. Phys.	Handb Phys
Helvetica Chimica Acta	Helv. Chim. Acta	Helv Chim Acta
Helvetica Physica Acta	Helv. Phys. Acta	Helv Phys Acta
High Temperature (USSR) (translation of Teplofizika Vysokikh Temperatur)	High Temp. (USSR)	High Temp (USSR)
IBM Journal of Research and Development	IBM J. Res. Dev.	IBM J Res Dev
Icarus, International Journal of the Solar System	Icarus	Icarus
IEEE Journal of Quantum Electronics	IEEE J. Quantum Electron.	IEEE J Quantum Electron
