WORD	ABBREVIATION	LANGUAGES
-agōgē	-ag.	Greek,Modern (1453- )
-aineisto	-ain.	Finnish
-Alföld	-Alf.	Hungarian
-arvio		Finnish
-asema	-as.	Finnish
-asia		Finnish
-baden	-bad.	German
-band (book)	-bd.	German
-bauten	-baut.	German
-bearbeitung	-bearb.	German
-bedrijven	-bedr.	Dutch
-berg	-b.	German
-beskatning	-beskat.	Danish
-bestand		German
-betrieb	-betr.	German
-bírál-	-bír.	Hungarian
-bizottság	-biz.	Hungarian
-blad	-bl.	Danish,Dutch
-boek	-b.	Dutch
-bog	-b.	Danish
-bok	-b.	Norwegian,Swedish
-bolag	-bol.	Swedish
-book	-b.	English
-borough	-brgh.	English
-bourg	-bg.	French
-bourne	-b.	English
-brief	-br.	German
-buch	-b.	German
-burg	-bg.	Multiple Languages
-bürger	-bürg.	German
-business	-bus.	English
-byrå		Swedish
-craft	-cr.	English
-dannelse	-dann.	Danish
-dienst	-d.	German
-dorf	-d.	German
-eläke		Finnish
-erwerbung	-erwerb.	German
-erzsébet	-erzs.	Hungarian
-feger	-feg.	German
-félag-	-fél.	Icelandic
-field	-f.	English
-fjernsyn		Danish
-fläche	-fl.	German
-föring	-för.	Swedish
-forschung	-forsch.	German
-forsyning	-forsyn.	Danish
-fortegnelse	-fortegn.	Danish
-frage	-fr.	German
-främjande	-främj.	Swedish
-führung	-führ.	German
-gehalt		German
-genesis	-genes.	Multiple Languages
-gericht	-ger.	German
-gespräch	-gespr.	German
-gewerbe	-gew.	German
-gøre-	-gør.	Danish
-grad	-gr.	Croatian,Russian
-graf-	-gr.	Russian
-graph-	-gr.	English
-ground	-gr.	English
-group	-gr.	English
-gruppe	-gr.	English
-handbuch	-handb.	German
-handler	-handl.	Danish
-heft	-h.	German
-herberge	-herb.	German
-hindringer	-hindr.	Danish
-hoidj-	-hoid.	Estonian
-hoito		Finnish
-igazgat-	-ig.	Hungarian
-innung	-inn.	German
-intenzív	-intenz.	Hungarian
-intéz-	-int.	Hungarian
-jalostus	-jal.	Finnish
-jysk		Danish
-käsittely	-käs.	Finnish
-kassa	-k.	Finnish
