Antike und Abendland	A&A 
Archäologischer Anzeiger	AA 
Athens Annals of Archaeology	AAA 
Publications of an American Archaeological Expedition to Syria	AAES 
Annales archéologiques arabes syriennes	AAS 
Arts asiatiques (formerly RAA)	AAs
Annual of the American Schools of Oriental Research	AASOR 
Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin	AbhBerl 
Abhandlungen der Akademie der Wissenschaften zu Göttingen	AbhGött 
Abhandlungen der Heidelberger Akademie der Wissenschaften	AbhHeid 
Abhandlungen für die Kunde des Morgenlandes	AbhKM 
Abhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-historische Klasse	AbhLeip 
Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse, ­Akademieder Wissenschaften und der Literatur in Mainz	AbhMainz 
Bayerische Akademie der Wissenschaften, München, Philosophisch-historische Klasse. Abhandlungen	AbhMünch 
C.H.E. Haspels, Attic Black-Figured Lekythoi (Paris 1936)	ABL
J.D. Beazley, Attic Black-Figure Vase-Painters (Oxford 1956)	ABV
Acme: Annali della Facoltà di Filosofia e Lettere dell'Università statale di Milano	Acme 
Ancient Coins in North American Collections	ACNAC 
Acta ad archaeologiam et artium historiam pertinentia	ActaAArtHist 
Acta archaeologica [Copenhagen]	ActaArch 
Acta archaeologica Academiae scientiarum Hungaricae	ActaArchHung 
Acta archaeologica Lovanensia	ActaArchLov 
Skrifter utgivna av Svenska Institutet i Athen (Acta Instituti Atheniensis Regni Sueciae) (formerly SkrAth)	ActaAth
Acta Instituti romani Finlandiae	ActaInstRomFin 
Acta Universitatis Lundensis	ActaLund 
Acta numismatica	ActaNum 
Acta orientalia Academiae scientiarum Hungaricae	ActaOrHung 
Skrifter utgivna av Svenska Institutet i Rom (Acta Instituti Romani Regni Sueciae) (formerly SkrRom)	ActaRom
Annual of the Department of Antiquities of Jordan	ADAJ 
Annali dell'Istituto di corrispondenza archeologica	AdI 
Aegaeum: Annales d'archéologie égéenne de l'Université de Liège	Aegaeum 
Ägyptologische Forschungen	ÄgForsch 
Archäologisch epigraphische Mitteilungen aus Österreich-Ungarn	AEM 
L'Année épigraphique	AÉpigr
Atene e Roma	AeR 
Aevum. Rassegna di scienze storiche, linguistiche e filologiche	Aevum 
Archäologische Forschungen	AF 
Archiv für Orientforschung	AfO 
Africa: Institut national d'Archéologie et d'Art [Tunis]	Africa 
Africa italiana	AfrIt 
L'Africa romana	AfrRom 
Athenian Agora (Princeton 1953– )	Agora 
Excavations of the Athenian Agora: Picture Book (Princeton 1958– )	AgoraPicBk 
American Historical Review	AHR 
Bulletin of the Archaeological Institute of America	AIABull 
Newsletter of the Archaeological Institute of America	AIANews 
