AAS Photo Bulletin	AASPB
AAS/Division for Planetary Sciences Meeting Abstracts	DPS
AAS/Division of Dynamical Astronomy Meeting	DDA
AAS/High Energy Astrophysics Division	HEAD
AAS/Historical Astronomy Division	HAD
AAS/Solar Physics Division Meeting	SPD
Abastumanskaia Astrofizicheskaia Observatoriia Biulleten	AbaOB
Abbadia Observatory Observations	AbbOO
Abh. Konigl. Preuss. Akad. Wissenschaften Jahre 1906,92, Berlin,1907	AbhKP
Academia Scientiarum Fennica Annales Series Physica	ASFAS
Academic Open Internet Journal	AOIJ
Academie des Science Paris Comptes Rendus Serie B Sciences Physiques	CRASB
Academie des Sciences Comptes Rendus Serie Mecanique Physique Chimie Sciences de la Terre et de l Univers	CR2
Academie des Sciences Paris Comptes Rendus	CRAS
Academie des Sciences Paris Comptes Rendus Serie Generale La Vie des Sciences	CRASG
Academie des Sciences Paris Comptes Rendus Serie Physique Astrophysique	CRASP
Academie des Sciences Paris Comptes Rendus Serie Sciences Mathematiques	CRASM
Academie des Sciences Paris Comptes Rendus Vie Academique Semester Supplement	CRASA
Academie Royale de Belgique Classe des Sciences Memoires	MeARB
Academie Serbe des Sciences et des Arts Bulletin Classe des Sciences Techniques	ASSAB
Accademia di Scienze e Lettere Istituto Lombardo Rendiconti Serie della Classe di Scienze Matematiche e Naturali Sezione Scienze Matematiche Fisiche Chimiche e Geologiche	ASLLR
Accademia Nazionale dei Lincei Atti Rendiconti Classe di Matematica e Applicazioni	ANLAM
Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche e Naturali	ANLAF
Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche Matematiche e Naturali	ANLAR
Acoustical Imaging and Holography	AIH
Acoustical Physics	APhy
Acoustical Society of America Journal	ASAJ
Acoustics Letters	AcouL
Acta Acustica	AcAcu
Acta Aerodynamica Sinica	AcAer
Acta Aeronautica et Astronautica Sinica	AcAAS
Acta Applicandae Mathematicae	AcAM
Acta Armamentarii	AcArm
Acta Astronautica	AcAau
Acta Astronomica	AcA
Acta Astronomica Sinica	AcASn
Acta Astronomica Supplementa	AcAS
Acta Astrophysica Sinica	AcApS
Acta Automatica Sinica	AcAuS
Acta Biochimica and Biophysica Academiae Scientarium Hungarica	AcBAS
Acta Biochimica et Biophysica Hungarica	AcBBH
Acta Biochimica et Biophysica Sinica	AcBBS
Acta Biotheoretica	AcBio
Acta Chemica Scandinavica Series A	AcCS
Acta Cosmologica	AcC
Acta Crystallographica Section A	AcCrA
Acta Crystallographica Section B	AcCrB
Acta Crystallographica Section C	AcCrC
Acta Electrochimica	AcElc
Acta Electronica	AcEle
Acta Electronica Sinica	AcElS
Acta Frequenza	AcFre
Acta Geophysica Polonica	AcGeP
Acta Historica Astronomiae	AcHA
Acta Materiae Compositae Sinica	AcMCS
Acta Materialia	AcMat
Acta Mathematica	AcMa
Acta Mathematica Hungarica	AcMaH
Acta Mechanica	AcMec
Acta Mechanica Sinica	AcMSn
