Academia Economic Papers	Academia Econ. Pap.	Academia Econ Pap
Accounting Review	Acc. Rev.	Acc Rev
Accounting, Business and Financial History	Acc., Bus. Finan. Hist.	Acc, Bus Finan Hist
ACES Bulletin	ACES Bull.	ACES Bull
Acta Oeconomica	Acta Oecon.	Acta Oecon
Advancing the Consumer Interest	Advanc. Cons. Interest	Advanc Cons Interest
African Development Review/Revue Africaine de Developpement	African Devel. Rev./Revue Africaine Devel.	African Devel Rev/Revue Africaine Devel
African Economic History	African Econ. Hist.	African Econ Hist
African Finance Journal	African Finance J.	African Finance J
Afrika Spectrum	Afrika Spec.	Afrika Spec
Agenda	Agenda	Agenda
Agribusiness	Agribusiness	Agribusiness
Agricultural and Resource Economics Review	Agr. Resource Econ. Rev.	Agr Resource Econ Rev
Agricultural Economics Research	Agr. Econ. Res.	Agr Econ Res
Agricultural Economics	Agr. Econ.	Agr Econ
Agricultural Finance Review	Agr. Finance Rev.	Agr Finance Rev
Agriculture and Human Values	Agr. Human Values	Agr Human Values
Agriculture and Resources Quarterly	Agr. Resources Quart.	Agr Resources Quart
Agronomia Mesoamericana	Agronomia Mesoamericana	Agronomia Mesoamericana
Allgemeines Statistisches Archiv/Journal of the German Statistical Society	Allgemeines Statistisches Arch./J. German Statistical Society	Allgemeines Statistisches Arch/J German Statistical Society
American Economic Review	Amer. Econ. Rev.	Amer Econ Rev
American Economist	Amer. Economist	Amer Economist
American Enterprise	Amer. Enterprise	Amer Enterprise
American Historical Review	Amer. Historical Rev.	Amer Historical Rev
American Journal of Agricultural Economics	Amer. J. Agr. Econ.	Amer J Agr Econ
American Journal of Economics and Sociology	Amer. J. Econ. Sociology	Amer J Econ Sociology
American Law and Economics Review	Amer. Law Econ. Rev.	Amer Law Econ Rev
American Political Science Review	Amer. Polit. Sci. Rev.	Amer Polit Sci Rev
American Prospect	Amer. Prospect	Amer Prospect
American Real Estate and Urban Economics Association Journal	Amer. Real Estate Urban Econ. Assoc. J.	Amer Real Estate Urban Econ Assoc J
American Statistician	Amer. Statistician	Amer Statistician
Analyse Prévision	Anal. Prévision	Anal Prévision
Annales de l'INSEE	Ann. INSEE	Ann INSEE
Annales de Sciences Economiques Appliqués	Ann. Sci. Econ. Appl.	Ann Sci Econ Appl
Annales d'Economie et de Statistique	Ann. Econ. Statist.	Ann Econ Statist
Annali della facoltà di Economia e Commercio, Università Palermo	Ann. Fac. Econ. Com., Univ. Palermo	Ann Fac Econ Com, Univ Palermo
Annals of Economic and Social Measurement	Ann. Econ. Soc. Meas.	Ann Econ Soc Meas
Annals of Economics and Finance	Ann. Econ. Finance	Ann Econ Finance
Annals of Public and Cooperative Economics	Ann. Public Coop. Econ.	Ann Public Coop Econ
Annals of Regional Science	Ann. Reg. Sci.	Ann Reg Sci
Annals of the American Academy of Political and Social Science	Ann. Amer. Acad. Polit. Soc. Sci.	Ann Amer Acad Polit Soc Sci
Antitrust Bulletin	Antitrust Bull.	Antitrust Bull
Antitrust Law and Economics Review	Antitrust Law Econ.	Antitrust Law Econ
Applied Economics Letters	Appl. Econ. Letters	Appl Econ Letters
Applied Economics	Appl. Econ.	Appl Econ
Applied Financial Economics	Appl. Finan. Econ.	Appl Finan Econ
Applied Geography and Development	Appl. Geogr. Devel.	Appl Geogr Devel
Applied Mathematical Finance	Appl. Math. Finance	Appl Math Finance
Aquaculture Economics and Management	Aquaculture Econ. Manage.	Aquaculture Econ Manage
Archives of Economic History	Archives Econ. Hist.	Archives Econ Hist
Arquivo do Instituto Gulbenkian de Ciência	Arquivo Inst.	Arquivo Inst
Arthaniti	Arthaniti	Arthaniti
Artha-Vikas	Artha-Vikas	Artha-Vikas
ASEAN Economic Bulletin	ASEAN Econ. Bull.	ASEAN Econ Bull
Asia Pacific Business Review	Asia Pacific Bus. Rev.	Asia Pacific Bus Rev
Asia Pacific Journal of Economics and Business	Asia Pacific J. Econ. Bus.	Asia Pacific J Econ Bus
Asian Development Review	Asian Devel. Rev.	Asian Devel Rev
Asian Economic Journal	Asian Econ. J.	Asian Econ J
Asian Economic Review	Asian Econ. Rev.	Asian Econ Rev
Asian Journal of Agricultural Economics	Asian J. Agr. Econ.	Asian J Agr Econ
Asian-Pacific Economic Literature	Asian-Pacific Econ. Lit.	Asian-Pacific Econ Lit
Asia-Pacific Development Journal	Asia-Pacific Devel. J.	Asia-Pacific Devel J
Asia-Pacific Economic Review	Asia-Pacific Econ. Rev.	Asia-Pacific Econ Rev
Asia-Pacific Financial Markets	Asia-Pacific Finan. Markets	Asia-Pacific Finan Markets
Atlantic Economic Journal	Atlantic Econ. J.	Atlantic Econ J
Aussenwirtschaft	Aussenwirtschaft	Aussenwirtschaft
Australasian Journal of Regional Studies	Australasian J. Reg. Stud.	Australasian J Reg Stud
Australian Bulletin of Labour	Australian Bull. Lab.	Australian Bull Lab
Australian Commodities Forecasts and Issues	Australian Commodities Forecasts Issues	Australian Commodities Forecasts Issues
Australian Economic History Review	Australian Econ. Hist. Rev.	Australian Econ Hist Rev
Australian Economic Papers	Australian Econ. Pap.	Australian Econ Pap
Australian Economic Review	Australian Econ. Rev.	Australian Econ Rev
Australian Journal of Agricultural and Resource Economics	Australian J. Agr. Resource Econ.	Australian J Agr Resource Econ
Australian Journal of Agricultural Economics	Australian J. Agr. Econ.	Australian J Agr Econ
Australian Journal of Labour Economics	Australian J. Lab. Econ.	Australian J Lab Econ
Australian Journal of Management	Australian J. Manage.	Australian J Manage
Australian Tax Forum	Australian Tax Forum	Australian Tax Forum
Banca Nazionale del Lavoro Quarterly Review	Banca Naz. Lavoro Quart. Rev.	Banca Naz Lavoro Quart Rev
Bancaria	Bancaria	Bancaria
Banco de España Economic Bulletin	Banco España Econ. Bull.	Banco España Econ Bull
Bangladesh Development Studies	Bangladesh Devel. Stud.	Bangladesh Devel Stud
Bangladesh Economic Review	Bangladesh Econ. Rev.	Bangladesh Econ Rev
Bank of England Quarterly Bulletin	Bank Engl. Quart. Bull.	Bank Engl Quart Bull
Bank of Israel Banking Review	Bank Israel Banking Rev.	Bank Israel Banking Rev
Bank of Israel Economic Review	Bank Israel Econ. Rev.	Bank Israel Econ Rev
Bank of Japan Monetary and Economic Studies	Bank Japan Monet. Econ. Stud.	Bank Japan Monet Econ Stud
Bank of Korea Economic Papers	Bank Korea Econ. Pap.	Bank Korea Econ Pap
Bank of Valletta Review	Bank Valletta Rev.	Bank Valletta Rev
Banker	Banker	Banker
Behavioral Research in Accounting	Behavioral Res. Acc.	Behavioral Res Acc
Bell Journal of Economics	Bell J. Econ.	Bell J Econ
Boletin del Musea Social Argentino	Bol. Mus. Soc. Argent.	Bol Mus Soc Argent
Brazilian Electronic Journal of Economics	Brazilian Electronic J. Econ.	Brazilian Electronic J Econ
Brazilian Review of Econometrics	Brazilian Rev. Econometrics	Brazilian Rev Econometrics
British Journal of Industrial Relations	Brit. J. Ind. Relat.	Brit J Ind Relat
British Review of Economic Issues	Brit. Rev. Econ. Issues	Brit Rev Econ Issues
Brookings Papers on Economic Activity	Brookings Pap. Econ. Act.	Brookings Pap Econ Act
