Accademie e Biblioteche d'Italia	ABI
Acta Ethnographica Academiae Scientiarum Hungaricae	AEASH
Acta Germanica: Jahrbuch des Germanistenverbandes im Südlichen Afrika	ActaG
Acta Linguistica Hafniensia: International Journal of General Linguistics	ALH
Acta Universitatis Szegediensis de Attila József Nominatae: Sectio Ethnographica et Linguistica/Néprajz és Nyelvtudomány/Volkskunde und Sprachwissenschaft	AUS-E&L
L'Action Nationale	ActN
Adalbert Stifter Institut des Landes Oberösterreich: Vierteljahresschrift	ASILO
ADE Bulletin	ADEB
ADFL Bulletin	ADFLB
Aevum: Rassegna di Scienze Storiche, Linguistiche, Filologiche	Aevum
Africa: Journal of the International African Institute/Revue de l'Institut Africain International	AfricaL
Africa Report	AfricaR
Africa: Rivista Trimestrale di Studi e Documentazione dell'Istituto Italo-Africano	Africa
African American Review	AAR
African Arts	AfrA
The African Book Publishing Record	ABPR
African Notes: Journal of the Institute of African Studies	AfrN
African Studies	AfrS
The African Studies Review	AfrSR
African Writers Series	AfrWS
Africana Journal: A Bibliographic Library Journal and Review Quarterly	AfrLJ
Africana Linguistica	AfrL
Afrika Focus	AfrF
L'Afrique Littéraire	ALA
Afro-Hispanic Review	AHR
The Age of Johnson: A Scholarly Annual	AJ
Agenda	Agenda
Agora: A Journal in the Humanities and Social Sciences	Agora
AILA Review	AILAR
Aiolika Grammata	AiolikaG
Akademiska Dzïve	ADz
Akzente: Zeitschrift für Literatur	Akzente
Al'manakh Ukraïns'koho Narodnoho Soiuzu	AUNS
Al- Qantara: Revista de Estudios Arabes	Qantara
Alaluz: Revista de Poesia, Narracion y Ensayo	Alaluz
Alba de América: Revista Literaria	AldeAm
Alföld: Irodalmi Muvelodési és Kritikai Folyóirat	Alföld
Alif: Journal of Comparative Poetics	Alif
The Aligarh Journal of English Studies	AJES
L'Alighieri: Rassegna Bibliografica Dantesca	Alighieri
Alizés: Revue Angliciste de la Réunion	Alizés
Altro Polo: A Volume of Italian Studies	AlP
Amerasia Journal	AmasJ
American Anthropologist	AA
American Benedictine Review	ABR
American Book Collector	ABC
American Indian Quarterly	AIQ
American Journal of Germanic Linguistics and Literatures	AJGLL
The American Journal of Psychoanalysis	AJP
The American Journal of Semiotics	AJS
American Literary History	AmLH
American Literary Realism, 1870-1910	ALR
American Literary Scholarship: An Annual	AmLS
American Literature: A Journal of Literary History, Criticism, and Bibliography	AL
American Periodicals: A Journal of History, Criticism, and Bibliography	AmPer
The American Poetry Review	APR
American Psychologist	AmP
American Quarterly	AQ
The American Scholar	ASch
The American Sephardi: Journal of the Sephardic Studies Program of Yeshiva University	AmSeph
American Speech: A Quarterly of Linguistic Usage	AS
American Studies	AmerS
American Studies International	ASInt
American Transcendental Quarterly	ATQ
American Translators Association Series	ATAS
American University Studies I: Germanic Languages and Literature	GLL
American University Studies II: Romance Languages and Literature	RLL
American University Studies III: Comparative Literature	CompL
American University Studies IV: English Language and Literature	EL&L
American University Studies XII: Slavic Languages and Literature	SL&Li
American University Studies XIII: Linguistics	Ling
American University Studies XIX: General Literature	GenL
American University Studies XVIII: African Literature	AfrLit
American University Studies XXII: Latin American Literature	LatAL
American University Studies XXIV: American Literature	AmLit
The Americas Review: A Review of Hispanic Literature and Art of the USA	AmRev
Amerikastudien/American Studies	Amst
Amerikastudien/American Studies: A Monograph Series	AmStudies
Ameryka: A Ukrainian Catholic Daily	Ameryka
Amitié Charles Péguy: Bulletin d'Informations et de Recherches	ACP
AMS Studies in the Eighteenth Century	AMSS
AMS Studies in the Middle Ages	AMSSMA
AMS Studies in the Renaissance	AMSR
Amstelodamum: Maandblad voor de Kennis van Amsterdam. Orgaan van Het Genootschap Amstelodamum	Amstel
Amsterdam Studies in the Theory and History of Linguistic Science V: Library and Information Sources in Linguistics	LISL
Amsterdamer Beiträge zur Neueren Germanistik	ABnG
Amsterdamer Publikationen zur Sprache und Literatur	APSL
Anais: An International Journal	Anais
Analecta Bollandiana	AnBol
Analecta Malacitana: Revista de la Seccion de Filología de la Facultad de Filosofia y Letras	AnMal
Analecta Sacra Tarraconensia: Revista de Ciencias Historico-Eclesiasticas Balmesiana	AnST
Analele Stiintifice ale Universitatii Al.I. Cuza din Iasi (Serie noua), e. Lingvistica	ASUI
Anales Cervantinos	ACer
Anales de la Literatura Española Contemporánea	ALEC
Anales de Literatura Española	ALE
Anales Galdosianos	AGald
Analytical & Enumerative Bibliography	AEB
Angelicum: Periodicum Trimestre Pontificae Studiorum Universitatis a Sancto Thoma Aquinate in Urbe	Angelicum
Anglia: Zeitschrift für Englische Philologie	Anglia
Anglistik & Englischunterricht	A&E
