Administrative Law Review	Admin. L. Rev.	Admin L Rev
African-American Law & Policy Report	Afr.-Am. L. & Pol'y Rep.	Afr-Am L & Pol'y Rep
Akron Law Review	Akron L. Rev.	Akron L Rev
Akron Tax Journal	Akron Tax J.	Akron Tax J
Alabama Law Review	Ala. L. Rev.	Ala L Rev
Alaska Law Review	Alaska L. Rev.	Alaska L Rev
Albany Law Journal of Science & Technology	Alb. L.J. Sci. & Tech.	Alb LJ Sci & Tech
Albany Law Review	Alb. L. Rev.	Alb L Rev
American Bankruptcy Institute Law Review	Am. Bankr. Inst. L. Rev.	Am Bankr Inst L Rev
American Criminal Law Review	Am. Crim. L. Rev.	Am Crim L Rev
American Indian Law Review	Am. Indian L. Rev.	Am Indian L Rev
American Journal of Comparative Law	Am. J. Comp. L.	Am J Comp L
American Journal of Criminal Law	Am. J. Crim. L.	Am J Crim L
American Journal of Law & Medicine	Am. J.L. & Med.	Am JL & Med
American Journal of Legal History	Am. J. Legal Hist.	Am J Legal Hist
American Journal of Trial Advocacy	Am. J. Trial Advoc.	Am J Trial Advoc
American Review of International Arbitration	Am. Rev. Int'l Arb.	Am Rev Int'l Arb
American University International Law Review	Am. U. Int'l L. Rev.	Am U Int'l L Rev
American University Journal of Gender, Social Policy & the Law	Am. U. J. Gender & Soc. Pol'y & L.	Am U J Gender & Soc Pol'y & L
American University Law Review	Am. U. L. Rev.	Am U L Rev
Animal Law	Animal L.	Animal L
Annals of Health Law	Annals Health L.	Annals Health L
Annual Review of Banking and Financial Law	Ann. Rev. Banking & Fin. L.	Ann Rev Banking & Fin L
Annual Survey of International & Comparative Law	Ann. Surv. Int'l & Comp. L.	Ann Surv Int'l & Comp L
Antitrust Law Journal	Antitrust L.J.	Antitrust LJ
Appalachian Journal of Law	Appalachian J.L.	Appalachian JL
Arizona Journal of International and Comparative Law	Ariz. J. Int'l & Comp. L.	Ariz J Int'l & Comp L
Arizona Law Review	Ariz. L. Rev.	Ariz L Rev
Arizona State Law Journal	Ariz. St. L.J.	Ariz St LJ
Arkansas Law Review	Ark. L. Rev.	Ark L Rev
Asia Pacific Journal of Environmental Law	Asia Pac. J. Envtl. L.	Asia Pac J Envtl L
Asian Law Journal	Asian L.J.	Asian LJ
